"Id","LotArea","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MoSold","YrSold","SalePrice"
1,8450,"CollgCr","1Fam",7,5,2003,2003,2,2008,208500
2,9600,"Veenker","1Fam",6,8,1976,1976,5,2007,181500
3,11250,"CollgCr","1Fam",7,5,2001,2002,9,2008,223500
4,9550,"Crawfor","1Fam",7,5,1915,1970,2,2006,140000
5,14260,"NoRidge","1Fam",8,5,2000,2000,12,2008,250000
6,14115,"Mitchel","1Fam",5,5,1993,1995,10,2009,143000
7,10084,"Somerst","1Fam",8,5,2004,2005,8,2007,307000
8,10382,"NWAmes","1Fam",7,6,1973,1973,11,2009,200000
9,6120,"OldTown","1Fam",7,5,1931,1950,4,2008,129900
10,7420,"BrkSide","2fmCon",5,6,1939,1950,1,2008,118000
11,11200,"Sawyer","1Fam",5,5,1965,1965,2,2008,129500
12,11924,"NridgHt","1Fam",9,5,2005,2006,7,2006,345000
13,12968,"Sawyer","1Fam",5,6,1962,1962,9,2008,144000
14,10652,"CollgCr","1Fam",7,5,2006,2007,8,2007,279500
15,10920,"NAmes","1Fam",6,5,1960,1960,5,2008,157000
16,6120,"BrkSide","1Fam",7,8,1929,2001,7,2007,132000
17,11241,"NAmes","1Fam",6,7,1970,1970,3,2010,149000
18,10791,"Sawyer","Duplex",4,5,1967,1967,10,2006,90000
19,13695,"SawyerW","1Fam",5,5,2004,2004,6,2008,159000
20,7560,"NAmes","1Fam",5,6,1958,1965,5,2009,139000
21,14215,"NridgHt","1Fam",8,5,2005,2006,11,2006,325300
22,7449,"IDOTRR","1Fam",7,7,1930,1950,6,2007,139400
23,9742,"CollgCr","1Fam",8,5,2002,2002,9,2008,230000
24,4224,"MeadowV","TwnhsE",5,7,1976,1976,6,2007,129900
25,8246,"Sawyer","1Fam",5,8,1968,2001,5,2010,154000
26,14230,"NridgHt","1Fam",8,5,2007,2007,7,2009,256300
27,7200,"NAmes","1Fam",5,7,1951,2000,5,2010,134800
28,11478,"NridgHt","1Fam",8,5,2007,2008,5,2010,306000
29,16321,"NAmes","1Fam",5,6,1957,1997,12,2006,207500
30,6324,"BrkSide","1Fam",4,6,1927,1950,5,2008,68500
31,8500,"IDOTRR","1Fam",4,4,1920,1950,7,2008,40000
32,8544,"Sawyer","1Fam",5,6,1966,2006,6,2008,149350
33,11049,"CollgCr","1Fam",8,5,2007,2007,1,2008,179900
34,10552,"NAmes","1Fam",5,5,1959,1959,4,2010,165500
35,7313,"NridgHt","TwnhsE",9,5,2005,2005,8,2007,277500
36,13418,"NridgHt","1Fam",8,5,2004,2005,9,2006,309000
37,10859,"CollgCr","1Fam",5,5,1994,1995,6,2009,145000
38,8532,"NAmes","1Fam",5,6,1954,1990,10,2009,153000
39,7922,"NAmes","1Fam",5,7,1953,2007,1,2010,109000
40,6040,"Edwards","Duplex",4,5,1955,1955,6,2008,82000
41,8658,"NAmes","1Fam",6,5,1965,1965,12,2006,160000
42,16905,"Timber","1Fam",5,6,1959,1959,7,2007,170000
43,9180,"SawyerW","1Fam",5,7,1983,1983,12,2007,144000
44,9200,"CollgCr","1Fam",5,6,1975,1980,7,2008,130250
45,7945,"NAmes","1Fam",5,6,1959,1959,5,2006,141000
46,7658,"NridgHt","TwnhsE",9,5,2005,2005,2,2010,319900
47,12822,"Mitchel","1Fam",7,5,2003,2003,8,2009,239686
48,11096,"Somerst","1Fam",8,5,2006,2006,7,2007,249700
49,4456,"OldTown","2fmCon",4,5,1920,2008,6,2009,113000
50,7742,"Sawyer","1Fam",5,7,1966,1966,1,2007,127000
51,13869,"Gilbert","1Fam",6,6,1997,1997,7,2007,177000
52,6240,"BrkSide","1Fam",6,6,1934,1950,9,2006,114500
53,8472,"IDOTRR","Duplex",5,5,1963,1963,5,2010,110000
54,50271,"Veenker","1Fam",9,5,1981,1987,11,2006,385000
55,7134,"NAmes","1Fam",5,5,1955,1955,2,2007,130000
56,10175,"NAmes","1Fam",6,5,1964,1964,7,2008,180500
57,2645,"Somerst","Twnhs",8,5,1999,2000,8,2009,172500
58,11645,"CollgCr","1Fam",7,5,2004,2004,8,2006,196500
59,13682,"StoneBr","1Fam",10,5,2006,2006,10,2006,438780
60,7200,"CollgCr","1Fam",5,7,1972,1972,1,2008,124900
61,13072,"SawyerW","1Fam",6,5,2004,2004,5,2006,158000
62,7200,"IDOTRR","1Fam",5,7,1920,1996,3,2007,101000
63,6442,"NridgHt","TwnhsE",8,5,2006,2006,10,2007,202500
64,10300,"OldTown","1Fam",7,6,1921,1950,4,2010,140000
65,9375,"CollgCr","1Fam",7,5,1997,1998,2,2009,219500
66,9591,"NridgHt","1Fam",8,5,2004,2005,10,2007,317000
67,19900,"NAmes","1Fam",7,5,1970,1989,7,2010,180000
68,10665,"CollgCr","1Fam",7,5,2003,2003,6,2007,226000
69,4608,"OldTown","1Fam",4,6,1945,1950,6,2010,80000
70,15593,"ClearCr","1Fam",7,4,1953,1953,7,2006,225000
71,13651,"NAmes","1Fam",7,6,1973,1973,2,2007,244000
72,7599,"Mitchel","1Fam",4,6,1982,2006,6,2007,129500
73,10141,"Gilbert","1Fam",7,5,1998,1998,12,2009,185000
74,10200,"NAmes","1Fam",5,7,1954,2003,5,2010,144900
75,5790,"OldTown","1Fam",3,6,1915,1950,5,2010,107400
76,1596,"MeadowV","Twnhs",4,5,1973,1973,11,2009,91000
77,8475,"NAmes","1Fam",4,7,1956,1956,4,2008,135750
78,8635,"BrkSide","1Fam",5,5,1948,2001,1,2008,127000
79,10778,"Sawyer","Duplex",4,5,1968,1968,4,2010,136500
80,10440,"OldTown","1Fam",5,6,1910,1981,5,2009,110000
81,13000,"NAmes","1Fam",6,6,1968,1968,6,2009,193500
82,4500,"Mitchel","TwnhsE",6,5,1998,1998,3,2006,153500
83,10206,"Somerst","1Fam",8,5,2007,2007,10,2008,245000
84,8892,"NAmes","1Fam",5,5,1960,1960,7,2007,126500
